processid	sampleid	recordID	catalognum	fieldnum	institution_storing	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	voucher_type	tissue_type	collectors	collectiondate	lifestage	sex	reproduction	extrainfo	notes	lat	lon	coord_source	coord_accuracy	country	province	region	exactsite	
ABRMM010-06	ROM 101195	308113	101195	PM17291	Royal Ontario Museum	BOLD:AAF4940	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	741526	Panthera uncia	 	 	 	 	 	Metro Toronto Zoo	 	I	F	S	 	 	 	 	 	 	 	 	 	 	
GBAAW30885-24	PP527111	23999096	09QW	 	Mined from GenBank, NCBI	BOLD:AAB8333	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	73504	Panthera pardus	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Unrecoverable	 	 	 	
GBCHO2926-23	XR_008422790	19913756	 	 	 	 	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	73504	Panthera pardus	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Unrecoverable	 	 	 	
GBCOC17971-23	OR539286	19758103	MGL-307	 	 	BOLD:AAF4940	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	741526	Panthera uncia	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Mongolia	 	 	 	
GBGC15944-19	MH124087	10866208	STP176673_1	 	Mined from GenBank, NCBI	BOLD:AAC3048	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	73508	Panthera tigris	462529	Panthera tigris altaica	 	 	 	 	 	 	 	 	 	 	38.0733	104.691	Coordinates from country centroid	 	China	 	 	 	
GBGC15950-19	MH124093	10866214	STP176875	 	Mined from GenBank, NCBI	BOLD:AAC3048	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	73508	Panthera tigris	462529	Panthera tigris altaica	 	 	 	 	 	 	 	 	 	 	38.0733	104.691	Coordinates from country centroid	 	China	 	 	 	
GBGC15951-19	MH124094	10866215	STP176884	 	Mined from GenBank, NCBI	BOLD:AAC3048	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	73508	Panthera tigris	462529	Panthera tigris altaica	 	 	 	 	 	 	 	 	 	 	38.0733	104.691	Coordinates from country centroid	 	China	 	 	 	
GBMA18149-19	AY736594	9785724	 	 	Mined from GenBank, NCBI	 	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	73508	Panthera tigris	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
GBMA28126-19	MH588623	9795796	 	 	Mined from GenBank, NCBI	BOLD:AAB8333	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	73504	Panthera pardus	 	 	 	 	 	 	1924-01-01	 	 	 	 	 	13.6622	101.087	Coordinates from country centroid	 	Thailand	 	 	 	
GBMA28131-19	MH588628	9795801	 	 	Mined from GenBank, NCBI	 	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	73504	Panthera pardus	 	 	 	 	 	 	 	 	 	 	 	 	0.15592	113.965	Coordinates from country centroid	 	Indonesia	 	 	 	
GBMA28132-19	MH588629	9795802	 	 	Mined from GenBank, NCBI	 	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	73504	Panthera pardus	 	 	 	 	 	 	1951-01-01	 	 	 	 	 	-3.33863	23.4198	Coordinates from country centroid	 	Democratic Republic of the Congo	 	 	 	
GBMA9663-15	KR132590	6170905	 	KR132590	Mined from GenBank, NCBI	 	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	263143	Panthera onca	 	 	 	 	 	 	 	 	 	 	taxon:9690	 	 	 	 	 	 	 	 	 	
GBMNE52826-22	MZ048974	16348394	Leopard3-B-COI-3.seq	 	Mined from GenBank, NCBI	BOLD:AAD6820	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	73504	Panthera pardus	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
GBMNE52842-22	MZ049428	16348410	Leopard2-H-COI-2.seq	 	Mined from GenBank, NCBI	BOLD:AAD6820	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	73504	Panthera pardus	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
GBMNE53833-22	MZ099335	16349401	 	MZ099335	Mined from GenBank, NCBI	 	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	73508	Panthera tigris	415354	Panthera tigris tigris	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
GBMTG1788-16	NC_014770	6960161	 	NC_014770	Mined from GenBank, NCBI	BOLD:AAC3048	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	73508	Panthera tigris	462530	Panthera tigris amoyensis	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
ZSILG608-22	ZSILG_ZS-3313	15231376	ZS-3313	ZSILG_ZS-3313	Zoological Survey of India	 	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	73504	Panthera pardus	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	India	 	 	 	
ZSILG612-22	ZSILG_ZS-3398	15231380	ZS-3398	ZSILG_ZS-3398	Zoological Survey of India	 	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	73504	Panthera pardus	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	India	 	 	 	
ZSILG619-22	ZSILG_ZS-3001	15231387	ZS-3001	ZSILG_ZS-3001	Zoological Survey of India	 	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	73504	Panthera pardus	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	India	 	 	 	
ZSILG638-22	ZSILG_ZS-2364	15231407	ZS-2364	ZSILG_ZS-2364	Zoological Survey of India	 	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	73504	Panthera pardus	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	India	 	 	 	
ZSIWF145-22	ZSI-2022-FI-185(S1)	16661625	FI-185(S1)	ZSI-2022-FI-185(S1)	Zoological Survey of India	 	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	73504	Panthera pardus	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	India	 	 	 	
ZSIWF153-23	ZSI-2023-FI-225(S4)	17351583	FI-225(S4)	ZSI-2023-FI-225(S4)	Zoological Survey of India	 	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	73504	Panthera pardus	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	India	 	 	 	
ZSIWF178-23	ZSI-2023-FI-245(S3)	17921972	MT-6522	ZSI-2023-FI-245(S3)	Zoological Survey of India	 	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	73504	Panthera pardus	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	India	 	 	 	
ZSIWF196-23	FI-225ii	18979869	MT6012	MT6012	Zoological Survey of India	 	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	73504	Panthera pardus	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	India	 	 	 	
ZSIWF199-23	FI-225v	18979872	MT6014	MT6014	Zoological Survey of India	 	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	73504	Panthera pardus	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	India	 	 	 	
CAR049-11	Pon34	1911291	 	Pon34	Pontificia Universidade do Rio Grande do Sul, Laboratorio de Biologia Genomica e Molecular	 	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	263143	Panthera onca	 	 	Eduardo Eizirik	 	 	 	 	 	 	 	 	see Eizirik et al. 2001, Mol. Ecol., vol. 10,  p. 65-79	3.85743	-53.3223	Coordinates from country centroid	 	French Guiana	 	 	 	
